instruction,input,output
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,  \item AKS prima,lity test
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., This is determinis,tic and in polynomial time
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,  \item Lucas-Leh,mer primality test
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., This only works for ,Mersenne primes $2^p - 1$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,  \item The Gaussian and cyclotomic integers $\Z[i]$ and $\Z[\zeta_3,]$ and some history of Fermat's Last Theorem
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,"end{enumerate}   \section{Probabilistic primality test} In this section, we consi","der three probabilistic primality tests, the Fermat test, the Miller-Rabin test and the Solovay-Strassen test"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., They all build upon Fermat's little theorem: $a^{p-1}\equi,"v 1\pmod{p}$ if $p$ is a prime and $a = 1,\ldots,p-1$"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,begin{lemma}   If $a^{n-1}\equiv 1\pmod{n}$ for eve,"ry $a = 1,\ldots,n-1$, then $n$ is a prime"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,"end{lemma} \begin{proof}   Every $a = 1,\ldot","s,n-1$ is invertible in $\Z/n\Z$"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,"end{proof} Similar to Shor's algorithm, it is not practical to test all integers less than $n$ (we might as well just check for division in this case), so we use a probabilis","tic approach: \begin{center}   \wow{Fermat test} \end{center} \begin{enumerate}   \item Pick $a = 1,\ldots,n-1$ at random"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,  \item Comp,"ute $\gcd(a,n)$"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.," If it is bigger than $1$, then", $n$ is not a prime
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,  \item Compute $a,^{n-1}$ mod $n$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.," If it is not $1$, then $",n$ is not a prime
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.," Otherwise, r",eturn to step 1
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,end{enumerate} Let's consi,der the set of bad inputs
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., Let $$F_n = \{a\in (\Z/n\Z)^\times ,\colon a^{n-1} = 1\}
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,"$$ If a randomly chosen $a$ lies in $F_n$, then we have to r","estart; otherwise, we would conclude that $n$ is not a prime"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., \qt{How big is $F_n$?} \begin{lemma}   The set $F_n,$ is a subgroup of $(\Z/n\Z)^\times$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,end{lemma} \begin{pro,of}   Clearly $1\in F_n$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.," If $a,b\in F_n$, then $(ab)^{n-1} = a^{n-1}b^{n-1} = 1",$ and $(a^{-1})^{n-1} = (a^{n-1})^{-1} = 1$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.," \add{Note that by HW 10 P1(a), since $(\Z/n\Z)^","\times$ is finite, we don't need to check for $a^{-1}$"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,"} \end{proof} By Corollary \ref{cor:propersmall}, since the order of a subgroup divides the order of the group, we see that if $F_n\neq(\","Z/n\Z)^\times$, then $|F_n| \leq \frac12\phi(n)$ and we have a probability of at least $1/2$ that a randomly chosen $a$ can be used to prove that $n$ is not a prime"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.," Unfortunately, there exists (infinitely ma",ny) odd composite numbers $n$ where $F_n = (\Z/n\Z)^\times$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., These numbers are called ,\textbf{Carmichael} numbers
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., The smallest Carmichael number ,is $561 = 3\cdot 11\cdot 17
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,"$ Note that $$2\mid 560,\qquad 10\mi","d 560,\qquad 16\mid 560"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,"$$ Hence if $a$ is an integer not divisible by $3, 11, 17$, then \begin{eqnarray*}   a^2\equiv 1\pmod{3} &\Longrightarrow& a^{560}\equiv 1\pmod{3}\\   a^{10}\equiv 1\pmod{11} &\Longrightarrow& a^{560}\equiv 1\pmod{11}\\   a^{1","6}\equiv 1\pmod{17} &\Longrightarrow& a^{560}\equiv 1\pmod{17} \end{eqnarray*} As another example, we have $1105 = 5\cdot 13\cdot 17$ and similarly $4\mid 1104$, $12\mid 1104$, $16\mid 1104$"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,"If we attempt to run the Fermat test on a Carmichael number, then we ar",e just hoping to hit integers $a$ that share a prime factor with $n$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., If $n$ is a product of very," few large primes, we are in trouble"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., Carmichael numbers are all squarefree and so have ,at least 2 distinct prime divisors
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.," In HW11, you will show that they have at lea",st 3 distinct prime divisors
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,begin{proposition}\label{prop:CMsqf}   If $p^2\mid n$ fo,"r some prime $p\geq 3$, then $n$ is not a Carmichael number"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,end{proposition} \begin{proof}   The key observation is that $$(1 + p)^{n-1} = 1 + (n-1)p + \sum_{,r=2}^{n-1}\binom{n-1}{r}p^r\equiv 1 + (n-1)p\pmod{p^2}
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,"$$   Since $p\mid n$, we have $p\nmid n-1$ and so $(1+p",)^{n-1}\not\equiv 1\pmod{p^2}$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., Write $n = p^km$ where $k ,= \nu_p(n)\geq 2$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.," By the Chinese Remainder Theorem, we can find an integer $a$ co","prime to $n$ such that   $$\begin{cases}     a\equiv1+p\pmod{p^k},\\     a\equiv 1\pmod{m}"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,  \end{cases}$$   Then $a^{n-1}\,equiv (1+p)^{n-1} \not\equiv 1\pmod{p^2}$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., Hence $a^{n-1}\not,\equiv 1\pmod{n}$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,end{proof} To deal with the Carmicha,"el numbers, we can use the Solovay-Strassen test"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.," Recall that we ``proved'' by example in the tutorial on Jacobi symbols that if $n$ is a squarefree compositive odd integer, then the congrue",nce equation $$a^{(n-1)/2}\equiv \lg{a}{n}\pmod{n}$$ does not hold for all $a\in(\Z/n\Z)^\times$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.," \add{The idea is that if $p$ is a prime divisor of $n$, then $a^{(n-1)/2}$ mod $p$ depends only on $a$ mod $","p$, but $\lg{a}{n}$ depends also on $a$ mod $\frac{n}{p}$"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,} It is easy to check that $$J_n = \{a\in(\Z/n\Z)^\times\colon a^{(n-1)/2}\equiv \lg{a}{n}\pmod{n}\,}$$ is a subgroup of $(\Z/n\Z)^\times$ since both sides of the congruence equation are multiplicative in $a$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., It is now a proper subgroup and so, has size at most $\phi(n)/2$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.," So by randomly choosing 80 possible $a$'s, we will be able to tell with hi",gh confidence whether $n$ is prime or not
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,begin{center}   \wow{Solovay-Strassen test} \end{center} \begin{enumerate}  ," \item Pick $a = 1,\ldots,n-1$ at random"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,  \item Compute ,"$\gcd(a,n)$"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.," If it is bigger than $1$, t",hen $n$ is not a prime
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,  \item Compute $a^{(n-,1)/2}$ mod $n$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., Compute the Jacobi sy,mbol $\lg{a}{n}$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., If they are not equa,"l, then $n$ is not a prime"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., If they are equal mod $,"n$, return to step 1"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,end{enumerate}   When computing $a^{(n-1)/2}$ mod $n$ in the Solo,"vay-Strassen test, we find that a lot of times, it is not even $\pm1$"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.," For example, $$3^",{280}\equiv 441\pmod{561}
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,"$$ However, $3^{",560}\equiv 1\pmod{561}$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., This means that $441$ is a nontrivial solution to $x^2\equiv 1,"\pmod{561}$, which also implies that $561$ is not a prime"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.," If we run this with $2$, we ac",tually have $$2^{280}\equiv 1\pmod{561}
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,$$ \qt{Is there some other power of $2$ that we can try?} W,e can try $2^{140}$ and see if that's $\pm1$ mod $561$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.," As luck would have it, $2^{14",0}\equiv 67\pmod{561}$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., So now we have found another nontrivi,"al solution, namely $67$"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.," If we run with $256$, then we have $$256^{280}\equiv ",256^{140}\equiv 256^{70}\equiv256^{35}\equiv 1\pmod{561}
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,$$ Now there is no way to produce some nontrivial solution, to $x^2\equiv 1\pmod{561}$ starting with $256$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., This is where we woul,d ``return to step 1''
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., The above is exact the Miller-Rabin test: \begin{center}   \wow{Miller-Rabin test} ,\end{center} Write $n - 1 = u\cdot 2^k$ where $u$ is odd and $k = \nu_2(n-1)$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,begin{enumerate}   \item Pick $a," = 1,\ldots,n-1$ at random"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,  \item Comp,"ute $\gcd(a,n)$"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.," If it is bigger than $1$, th",en $n$ is not a prime
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,  \item Compute $b_0\eq,uiv a^u$ mod $n$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., If $b_0\equiv 1$ mod," $n$, return to step 1"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,  \item Repeatedly compute $,b_{i+1}\equiv b_i^2$ mod $n$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., If $-1$ mod $n$ is reached before $1,"$ mod $n$, return to step 1"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.," If $1$ mod $n$ is reached before $-1$ mod $n$, then $n$ is not ",prime because we have a nontrivial solution to $x^2\equiv 1\pmod{n}$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.," If none of $b_0,\ldots, b_{k-1}$ ","equals $-1$ mod $n$, then $n$ is not a prime"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.," \add{This last point follows because if $b_k\equiv1$, then $b_{k","-1}$ is a nontrivial solution; and if $b_k\not\equiv1$, then it fails the Fermat test"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,} \end{enumerate} \begin{center}   \add{Lecture 30 Mon 11/18}   \re{Failure man,agement} \end{center} We now consider the bad set for the Miller-Rabin test
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., Let $$M_n = \{a\in(\Z/n\Z)^\times\colon a^u = 1\mbox{ or }a^{u2^i} ,"= -1\mbox{ for some }i=0,\ldots,k-1\}"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,$$ Let's fin,d $M_{69}$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., We have $69 - 1 = 6,8 = 17\cdot 4$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., So $$M_{69} = \{a\in(\Z/69\Z)^\times\colo,n a^{17} = 1\mbox{ or }a^{17} = -1\mbox{ or }a^{34} = -1\}
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,$$ We note that $$(\Z/69\Z)^\times\cong (\Z/3\Z)^\times\times (\Z,/23\Z)^\times\cong C_2\times C_{22}
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,$$ Hence for any $a\in (\Z/,"69\Z)^\times$, we have $a^{22} = 1$"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.," Since $\gcd(22,17) = 1$, there exist ","integers $x,y$ such that $22x + 17y = 1$"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.," Since $22x$ is even, we must", have $17y$ odd and so $y$ is odd
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,"Now if $a^{17} = 1$, then $$a = a^1 = a^{22x + 17y} = (a",^{22})^x(a^{17})^y = 1^x1^y = 1
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,"$$ If $a^{17} = -1$, then $$a = a^1 = a^{22x + 17",y} = (a^{22})^x(a^{17})^y = 1^x(-1)^y = -1
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,$$ It is also easy to check convers,"ely that if $a = \pm1$, then $a^{17} = a = \pm1$"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., Finally we observe that $a^2\equiv 1\,pmod{3}$ and so $a^{34}\equiv 1\pmod{3}$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., Hence it is not possib,le for $a^{34} = -1$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.," As a result, we hav","e $$M_{69} = \{1,-1\}"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,$$ Let's find ,$F_{69}$ next
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., Recall that $$F_{69} = \{a\in(\Z/69\,Z)^\times\colon a^{68} = 1\}
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,"$$ Now since $\gcd(68,22) = 2$, we"," see that if $a^{68} = 1$, then $a^2 = 1$"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.," Conversely, if $a^2 = 1$, t",hen $a^{68} = 1$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., Hence $$F_{69} = \{a\in(\Z/69\Z)^\tim,es\colon a^{2} = 1\}
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,"$$ Under the isomorphism $(\Z/69\Z)^\times\cong (\Z/3\Z)^\times\times (\Z/23\Z)^\times$, we se","e that $a^2 = 1$ if and only if $a = (\pm1,\pm1)$"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.," In other words, we have $$\begin{cases}   a&\e","quiv\,\,\,\pm1\pmod{3}\\   a&\equiv\,\,\,\pm1\pmod{23}"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,end{cases}$$ Solving these gives ,"$$F_{69} = \{1,22,47,68\}"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,$$ What about $J_{69}$? We have $$J_{69} = \{a,\in(\Z/69\Z)^\times\colon a^{34} = \lg{a}{69}\}\subseteq F_{69}
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,"$$ Hence we only need to consider $(\pm1,\",pm1)\in (\Z/3\Z)^\times\times (\Z/23\Z)^\times
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,$ Their $34$-th p,owers are all $1$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.," Note that if $a = (g,h)\in (\Z/3\Z)^\times\times (\Z/23\Z)^\times$, th",en $$\lg{a}{69} = \lg{a}{3}\lg{a}{23} = \lg{g}{3}\lg{h}{23}
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,"$$ As $23\equiv3\pmod{4}$, we have $$\lg{",-1}{3} = \lg{-1}{23} = -1
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,$$ Hence we have $\lg{a}{69} = 1,"$ if and only if $a = (1,1)$ or $(-1,-1)$"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.," In other words, $$J_{6","9} = \{1,-1\}"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,"$$ Finally, let's find the bad set for Shor's algorithm: $$S(69) = \{b\in(\Z",/69\Z)^\times\colon o(b)\mbox{ is odd or }b^{o(b)/2} = -1\}
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,"$$ As before, we view $$b = (g,h) \in (\Z/",3\Z)^\times\times (\Z/23\Z)^\times \cong C_2\times C_{22}
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,$$ Let $\alpha = o(g) \m,"id 2$ and so $\alpha = 1,2$"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., Let $\beta = o(h)\mid 22,"$ and so $\beta = 1,2,11,22$"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.," Then \begin{eqnarray*}   o(b) &=& \mbox{smallest }d\in\N\mbox{ such that }(g^d,h^d) = (1,1)\","\   &=& \mbox{smallest }d\in\N\mbox{ such that }o(g)\mid d\mbox{ and }o(h)\mid d\\   &=&\lcm(\alpha,\beta)"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,"end{eqnarray*} Hence we see that \begin{eqnarray*}   o(b)\mbox{ is odd} &\Leftrightarrow&\alpha = 1\mbox{ and }\beta = 1,11\\   &\Leftrightarrow&g = 1\mbox{ and }h^{11} = 1\\   &\Lef","trightarrow&\begin{cases}     b&\equiv\,\,\,1\pmod{3}\\     b&\equiv\,\,\,\mbox{square}\pmod{23}"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,  \end{cases} \end{eqnarray*} T,here are $11$ such elements
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,Suppose now $\alpha$ is, even and $\beta$ is odd
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.," Then we have $2\beta\mid\lcm(\alpha,\b","eta)$ (in fact, $\lcm(\alpha,\beta) = 2\beta$)"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.," That is, $\beta\mid o(b)/2$, whic",h implies that $h^{o(b)/2} = 1$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.," In other words, $b^{o(b)/2}\equiv 1\p",mod{23}$ and so it is not congruent to $-1$ mod $69$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.," Similarly, if $\alpha$ is odd and $\beta$ is even, then $\alpha\mid ","o(b)/2$ and so $b^{o(b)/2}\equiv 1\pmod{3}$, which is also not congruent to $-1$ mod $69$"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,The only remaining case is $,"\alpha = 2$ and $\beta = 2,22$"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., The point now is that $$\nu_2(\alpha) = \nu,"_2(\beta) = \nu_2(\lcm(\alpha,\beta))"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,"$$ As a result, $o(b)/2$ is an odd multiple of $\al",pha/2$ and also an odd multiple of $\beta/2$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.," Since $-1$ is the unique element of order $2$ in $(\Z/3\Z)^\times$ and $(\Z/23\Z)^\times$, we see that \begin{eqnarray*}   g^{\alpha/2}", = -1&\Rightarrow& g^{o(b)/2} = -1\\   h^{\beta/2} = -1&\Rightarrow& h^{o(b)/2} = -1
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,"end{eqnarray*} As a result, we have $b^",{o(b)/2} = -1$ in this case
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.," Hence, we have \begin{eqnarray*}   b^{o(b)/2} = -1 &\Leftrightarrow&\alpha = 2\mbox{ and }\beta = 2,2\\   &\Leftrightarrow&g ="," -1\mbox{ and }h^{11} \neq 1\\   &\Leftrightarrow&\begin{cases}     b&\equiv\,\,\,-1\pmod{3}\\     b&\equiv\,\,\,\mbox{non-square}\pmod{23}"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,  \end{cases} \end{eqnarray*} Ther,e are $11$ such elements
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.," In total, we have", $|S(69)| = 22$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,v There are a few ways to prove in general that $|M_n| \leq, \phi(n)/2$ when $n$ has at least two distinct prime divisors
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.," \add{For any $a\in M_n$, if $a^u = 1$, we set $i(a) = -1$; otherwise, we set $i(","a)$ to be the integer $i = 0,\ldots,k-1$ such that $a^{u2^i} = -1$"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., Note that $(-1)^u = -1$ and $(-1)^{2u,} = 1$ and so $i(-1) = 0$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., Let $j\leq k-1$ be the l,argest $i(a)$ over $a\in M_n$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., Then $j\geq ,i(-1) = 0$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.," For any $a\in M_n$, since $i(a)\leq j$, we", have $a^{u2^j} = \pm 1$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.," In other words, $M_n$ is a subset of $$E_n = \{a\in (\",Z/n\Z)^\times\colon a^{u\cdot2^j} = \pm 1\}
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,$$ It is easy to see that $E_n$ is a ,subgroup of $(\Z/n\Z)^\times$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,begin{proposition}   Suppose $n$ is a positive odd number with at least tw,o distinct prime divisors (for example if $n$ is a Carmichael number)
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., Then $E_n$ is a prope,r subgroup of $(\Z/n\Z)^\times$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.," As a result, $|",M_n|/\phi(n) \leq\frac12
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,$ \end{proposition} \begin{proof}   We write $n = m_1m_2$ wher,e $m_1$ and $m_2$ are coprime odd integers
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., Let $a_0\in M_n$ wit,h $i(a_0) = j$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., Then $a_0^{u2^j} = -1$ in ,$(\Z/n\Z)^\times$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.," By the Chinese Remainder Theorem, there exists an integer $a$ such that \begin{eqn",array*}     a&\equiv& a_0\pmod{m_1}\\     a&\equiv&1\pmod{m_2}
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,  \end{eqnarray*}   Then $a^{u\cdot2^,j}$ is $-1$ mod $m_1$ and $1$ mod $m_2$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., So it can't be ,$\pm1$ mod $m_1m_2$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., Hence $a\,notin E_n$
